,URL,Dataset,Tag,Sum Response Size,Avg Response Size,Count
1,https://cdn.sanity.io/images/ocl5w36p/prod5/58f14f927e81ed24c19edde88196c078e6551399-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,97 GB,230774.4,"420,947"
2,https://cdn.sanity.io/images/ocl5w36p/prod5/8c98b974bb997819a18cc4bdd2865aa58ad9d3ae-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,87 GB,153206.1,"565,213"
3,https://cdn.sanity.io/images/ocl5w36p/prod5/2e508c17492ade8cfb43778bc3450f9a32d7ca97-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,80 GB,141800.6,"563,988"
4,https://cdn.sanity.io/images/ocl5w36p/prod5/4d44037b76ce393512f9ca22accad20ed9966fbc-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,63 GB,219926.9,"284,576"
5,https://cdn.sanity.io/images/ocl5w36p/prod5/3da1d7e159b58b99ec5381674cfdfd1c154a2aae-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,60 GB,105568.1,"571,522"
6,https://cdn.sanity.io/images/ocl5w36p/prod5/fc9af09e0d7131f8610c5175d631dcc355324a46-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,56 GB,162914.,"343,641"
7,https://ocl5w36p.apicdn.sanity.io/v2022-10-01/data/query/prod5?query=%7B%22fetchedData%22%3A%20*%5B_type%20%3D%3D%20%22amaPage%22%20%26%26%20path%20%3D%3D%20%22%2Foffers%22%5D%7B%0A%20%20%22pageBody%22%3A%7B%0A%20%20%20%20...%2C%0A%20%20%20%20items%5B%5D%7B%0A%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20aesthetic-%3E%2C%0A%20%20%20%20%20searchData-%3E%7B%0A%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20searchTabs%5B%5D%7B%0A%20%20%20%20...%2C%0A%20%20popularItems%7B%0A%20%20...%2C%0A%20%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%22name%22%3A%20select(%0A%20%20%20%20%20%20%20%20%20%20%20%20title%20%3D%3D%20null%20%3D%3E%20hotelName%2C%0A%20%20%20%20%20%20%20%20%20%20%20%20title%0A%20%20%20%20%20%20%20%20%20%20)%2C%0A%20%20%20%20%20%20%20%20%20identifier%2C%0A%20%20%20%20%20%20%20%20hotelAddress-%3E%2C%0A%20%20%20%7D%0A%7D%2C%0A%20%20%20topDestination%7B%0A%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%20%20%20name%2C%0A%20%20%20%20%20%20%20%20%20identifier%2C%0A%20%20%20%20%20%20%20%20%22hotelAddress%22%3AamaDestinationAdditionalInfo-%3E%7Blatitude%2C%20longitude%7D%2C%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%7D%2C%0A%20%20trendingTheme%7B%0A%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%20%20%20title%2C%0A%20%20%20%20%20%20%20%20%20identifier%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%7D%0A%20%20%20%20%7D%0A%20%20%2C%0A%20%20%20%20%20_type%20in%20%5B%22switchCaseBlock%22%5D%20%3D%3E%20%7B%0A%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%22cases%22%3Acases%5B%5D%7B%0A%20%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20%20item%5B%5D%7B%0A%20%20%20%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20%20%20%20aesthetic-%3E%2C%0A%20%20%20%20%20%20%20%20%7D%2C%0A%20%20%20%20%20%20%7D%2C%0A%20%20%20%20%7D%2C%0A%20%20%20%20%7D%2C%0A%20%20%7D%2C%0A%22footer%22%3A%20%7B%0A%20%20%20%22footerData%22%3A*%5B_type%20%3D%3D%20%22amaFooter%22%20%26%26%20path%20%3D%3D%22%2Ffooter%22%5D%2C%0A%20%20%20%20%22destinations%22%3A%20*%5B_type%20%3D%3D%20%22destination%22%26%26brandName%20match%20%22Ama%22%20%26%26%20%22Ama%22%20in%20participatingHotels%5B%5D-%3EbrandName%5D%20%7C%20order(name%20asc)%20%7B%20%20%20%22name%22%3A%20%22Villas%20in%22%2B%22%20%22%20%2Bname%2C%20%20%20%22url%22%3A%20%22%2Fdestinations%2Fbungalows-and-villas-in-%22%20%2B%20identifier%20%2C%20%20%22urlType%22%3A%20%22internal%22%7D%2C%0A%20%20%20%20%22villas%22%3A%20*%5B_type%20%3D%3D%20%22destination%22%20%26%26%20brandName%20%3D%3D%20%22Ama%22%5D%7Corder(name%20asc)%20%7B%22name%22%3Aname%2C%20%22url%22%3A%20%22%2Fdestinations%2Fbungalows-and-villas-in-%22%2Bidentifier%2C%20%22urlType%22%3A%20%22internal%22%2C%20%22items%22%3A%20participatingHotels%5B%40%20-%3E%20brandName%20%3D%3D%20%22Ama%22%5D%20-%3E%7B%22title%22%3A%20hotelName%2C%20%22url%22%3A%20%22%2F%22%20%2B%20identifier%2C%20%22urlType%22%3A%20%22internal%22%7D%7D%0A%7D%2C%0A%22header%22%3A%20*%5B_type%20%3D%3D%20%22amaHeader%22%20%26%26%20path%20%3D%3D%22%2Fheader%22%5D%7B%0A%20%20...%2C%0A%20%20searchData-%3E%7B%0A%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20searchTabs%5B%5D%7B%0A%20%20%20%20...%2C%0A%20%20popularItems%7B%0A%20%20...%2C%0A%20%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%22name%22%3A%20select(%0A%20%20%20%20%20%20%20%20%20%20%20%20title%20%3D%3D%20null%20%3D%3E%20hotelName%2C%0A%20%20%20%20%20%20%20%20%20%20%20%20title%0A%20%20%20%20%20%20%20%20%20%20)%2C%0A%20%20%20%20%20%20%20%20%20identifier%2C%0A%20%20%20%20%20%20%20%20hotelAddress-%3E%2C%0A%20%20%20%7D%0A%7D%2C%0A%20%20%20topDestination%7B%0A%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%20%20%20name%2C%0A%20%20%20%20%20%20%20%20%20identifier%2C%0A%20%20%20%20%20%20%20%20%22hotelAddress%22%3AamaDestinationAdditionalInfo-%3E%7Blatitude%2C%20longitude%7D%2C%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%7D%2C%0A%20%20trendingTheme%7B%0A%20%20%20%20%20%20%20...%2C%0A%20%20%20%20%20%20%20itemList%5B%5D-%3E%7B%0A%20%20%20%20%20%20%20%20%20%20title%2C%0A%20%20%20%20%20%20%20%20%20identifier%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%7D%0A%20%20%20%20%7D%0A%20%20%0A%7D%2C%0A%7D%2C%20%22fetchedConfigData%22%3A%20*%5B_type%20%3D%3D%20%22amaConfig%22%5D%7D&%24tempPath=%22%2Foffers%22&tag=ama_cug_desk,prod5,ama_cug_desk,49 GB,18180.3,"2,715,917"
8,https://cdn.sanity.io/images/ocl5w36p/prod5/b75cd6933fd4c9542b72b237526eab4692d0564f-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,47 GB,136195.2,"341,890"
9,https://cdn.sanity.io/images/ocl5w36p/prod5/ff1d5c222e0b54d33f1b7dc7bc295e434fd4eb7e-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,45 GB,79375.7,"562,587"
10,https://cdn.sanity.io/images/ocl5w36p/prod5/9445cef15021f94fb8a750be53f8ab8de76ce979-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,41 GB,144123.4,"283,546"
